Name,Solved,Comments
Active,No,
APT,No,
Arctic,No,
Atom,No,
Bankrobber,No,
Bart ,No,
Bastard,No,
Bastion,No,
Blackfield ,No,
Blue,No,
Bounty,No,
Buff,No,
Cascade ,No,
Chatterbox,No,
Conceal,No,
Control ,No,
Devel,No,
Forest,No,
Fuse,No,
Grandpa,No,
Granny,No,
Jeeves ,No,
Jerry,No,
Legacy,No,
Nest ,No,
Netmon ,No,
Omni,No,
Optimum,No,
Querier ,No,
Remote,No,
Sauna ,No,
Secnotes,No,
Servmon,No,
Silo,No,
Sizzle ,No,
Sniper ,No,
Tally ,No,
Worker,No,
